Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk▼,Comb,Solo,Ast,TFL,QBHits,Sfty
T.J. Watt*+,PIT,29,LB,17,17,0.06,1.41,0.00,24,0.47,0.24,0.00,3,34,1,1.12,4.00,2.82,1.18,1.12,2.12,
Josh Allen*,JAX,26,OLB,17,17,0.06,0.47,0.00,8,0.06,0.12,0.00,0,0,0,1.03,3.88,2.53,1.35,1.00,1.94,
Trey Hendrickson*,CIN,29,DE,17,17,0.00,0.00,0.00,0,0.18,0.18,0.00,0,0,0,1.03,2.53,1.65,0.88,0.94,1.47,
Khalil Mack*,LAC,32,OLB,17,17,0.00,0.00,0.00,0,0.59,0.29,0.00,0,0,0,1.00,4.35,3.35,1.00,1.24,1.29,
Danielle Hunter*,MIN,29,OLB,17,17,0.00,0.00,0.00,0,0.12,0.24,0.00,0,0,0,0.97,4.88,3.18,1.71,1.35,1.29,
Maxx Crosby*,LVR,26,DE,17,17,0.00,0.00,0.00,0,0.12,0.12,0.00,1,0,0,0.85,5.29,3.24,2.06,1.35,1.82,
Micah Parsons*,DAL,24,LB,17,17,0.00,0.00,0.00,0,0.12,0.06,0.00,1,0,0,0.82,3.76,2.12,1.65,1.06,1.94,
Myles Garrett*+,CLE,28,DE,16,16,0.00,0.00,0.00,0,0.19,0.25,0.00,1,1,0,0.88,2.63,2.06,0.56,1.06,1.88,
Justin Madubuike*,BAL,26,DT,17,17,,,0.00,,,0.06,0.00,0,0,0,0.76,3.29,2.24,1.06,0.71,1.94,
Montez Sweat*,2TM,27,LDE-RDE,17,17,0.00,0.00,0.00,0,0.24,0.18,0.00,0,0,0,0.74,3.35,2.24,1.12,0.82,1.47,
Jonathan Greenard,HOU,26,RDE,15,15,0.00,0.00,0.00,0,0.13,0.07,0.00,0,0,0,0.83,3.47,2.40,1.07,1.00,1.47,
Aidan Hutchinson*,DET,23,DL,17,17,0.06,0.35,0.00,6,0.41,0.18,0.00,2,0,0,0.68,3.00,2.12,0.88,0.82,1.94,
Denico Autry,TEN,33,LDE,17,14,0.00,0.00,0.00,0,0.24,0.12,0.00,0,0,0,0.68,2.94,1.76,1.18,0.71,1.00,
Kayvon Thibodeaux,NYG,23,OLB,17,17,0.00,0.00,0.00,0,0.24,0.18,0.00,1,0,0,0.68,2.94,1.53,1.41,0.71,0.94,
